City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Alta Floresta,BR,71.62,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
233,Yanam,IN,82.8,overcast clouds,16.7333,82.2167,The Regency Hotel
236,Mawlaik,MM,77.74,overcast clouds,23.6333,94.4167,AKZ Guest House
239,Saint-Philippe,RE,67.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
240,Margate,GB,63.95,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
245,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
246,Verkhnevilyuysk,RU,73.71,scattered clouds,63.4453,120.3167,Gostinitsa Mila
247,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
248,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
250,Puting Kahoy,PH,78.35,overcast clouds,14.2157,121.031,Microtel by Wyndham South Forbes near Nuvali
252,Nador,MA,80.85,clear sky,35.174,-2.9287,Hôtel La Giralda
253,Kantang,TH,82.49,moderate rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
254,Kailua,US,85.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
256,Altamont,US,87.78,smoke,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
259,Den Helder,NL,65.95,light rain,52.9599,4.7593,Hotel Den Helder
262,Balotra,IN,85.23,overcast clouds,25.8333,72.2333,Hotel City Square
263,Biak,ID,81.57,broken clouds,-0.9131,122.8766,Penginapan Kim
264,Guymon,US,87.8,few clouds,36.6828,-101.4816,Super 8 Guymon
265,Simao,CN,68.34,moderate rain,22.7886,100.9748,Changyu Hotel
266,Kalasin,TH,79.81,overcast clouds,16.5,103.5,บริษัท บลูเทล จำกัด
268,Fort Morgan,US,80.02,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
269,Parabel,RU,75.78,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
272,Broome,US,74.39,broken clouds,42.2506,-75.833,Chenango Valley State Park
273,Zhangye,CN,75.72,light rain,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
275,Havelock,US,78.94,clear sky,34.8791,-76.9013,Sherwood Motel
276,Guerrero Negro,MX,69.17,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Powell River,CA,81.72,scattered clouds,49.8496,-124.5361,Rodmay Hotel
280,Aljezur,PT,61.57,clear sky,37.3191,-8.8033,Amazigh Hostel
281,Axim,GH,74.19,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
282,Ibra,OM,83.84,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
283,Sedam,IN,77.38,overcast clouds,17.1773,77.2824,Lakshmi Krupa
284,Praxedis Guerrero,MX,83.79,light rain,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
285,Dongargaon,IN,80.64,overcast clouds,20.9667,80.85,S r farmhouse
288,Road Town,VG,81.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
290,Japura,ID,87.01,broken clouds,-0.3167,102.35,Rumah mbah Jamah
291,Lao Cai,VN,81.01,moderate rain,22.4833,103.95,Legend Hotel
293,Aquiraz,BR,78.89,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
294,Homer,US,62.08,clear sky,59.6425,-151.5483,Beluga Lake Lodge
298,Gossaigaon,IN,85.33,broken clouds,26.4481,89.989,Daory Dhaba
299,Cabedelo,BR,70.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
302,Kaeo,NZ,61.32,moderate rain,-35.1,173.7833,Bushido Lodge
303,Hoquiam,US,83.26,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
305,Salym,RU,60.01,overcast clouds,60.0625,71.4789,Gostinitsa Salym
306,College,US,70,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
310,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
311,Sao Filipe,CV,73.42,scattered clouds,14.8961,-24.4956,Hotel Xaguate
313,Uong Bi,VN,89.58,scattered clouds,21.0333,106.7833,khach san Trung lien
314,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
315,Port Keats,AU,91.56,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
316,Tocopilla,CL,62.28,few clouds,-22.092,-70.1979,Hotel Galvarino
318,Rongcheng,CN,80.15,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
321,Haines Junction,CA,60.75,overcast clouds,60.7522,-137.5108,Parkside Inn
322,Kaspiysk,RU,73.58,scattered clouds,42.8816,47.6392,Alima Hostel
323,Ascope,PE,66.47,few clouds,-7.7144,-79.1078,agroindustrial casagrande
324,Kaabong,UG,62.02,overcast clouds,3.4836,34.1492,Rock Motel Ltd
325,Anadyr,RU,61.3,overcast clouds,64.75,177.4833,"Гостиница ""Анадырь"""
328,Pegnitz,DE,64.44,overcast clouds,49.7564,11.545,Hotel Ratsstube Pegnitz GmbH
329,Katsuura,JP,89.64,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
331,Kolondieba,ML,72.46,moderate rain,11.0882,-6.8926,Hotel Dakan
332,Zhangjiakou,CN,82.26,broken clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
333,Hamilton,US,79.84,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
334,Russell,US,82,light intensity drizzle,32.3502,-85.1999,Macs
336,Nadym,RU,61.3,scattered clouds,65.5333,72.5167,Apartment on Zvereva
338,Moranbah,AU,73.69,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
339,Filadelfia,US,78.06,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
340,San Ramon,US,85.62,clear sky,37.7799,-121.978,San Ramon Marriott
342,Okha,RU,79.39,overcast clouds,53.5739,142.9478,Империя
343,Porto Novo,BJ,76.82,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
344,Tutoia,BR,76.53,few clouds,-2.7619,-42.2744,Pousada Guará's
345,Yarmouth,US,70,clear sky,41.7057,-70.2286,Blue Rock Resort
347,Meadow Lake,US,77.31,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
348,Bharatpur,IN,90.95,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
349,Harper,LR,75,overcast clouds,4.375,-7.7169,Screensaver
351,Port Blair,IN,83.07,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
352,Shimoda,JP,86.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
353,Sokoni,TZ,75.27,clear sky,-6.4333,39.55,Ujamaa Beach Resort
354,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
355,Port Hardy,CA,62.78,broken clouds,50.6996,-127.4199,Airport Inn
356,Kaohsiung,TW,92.08,broken clouds,22.6163,120.3133,御宿商旅-中山館
358,Ust-Tarka,RU,75.4,overcast clouds,55.5672,75.705,Pearl of Siberia
359,Balkanabat,TM,82.81,clear sky,39.5108,54.3671,Nebitchi Hotel
360,Tahta,EG,79.12,clear sky,26.7693,31.5021,El Salam Hotel
361,El Alto,PE,63.84,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
362,Pachino,IT,81.59,clear sky,36.7186,15.0907,Pietra Bianca B&B
