City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Chinsali,ZM,-10.5414,32.0816,52.47,81,5,12.06,clear sky
106,San Juan,AR,-31.5375,-68.5364,50.86,43,0,9.04,clear sky
107,Hostotipaquillo,MX,21.0667,-104.0667,69.04,91,99,3.51,overcast clouds
108,Xining,CN,36.6167,101.7667,62.13,97,100,7.05,overcast clouds
109,Chegdomyn,RU,51.1167,133.0167,75.09,89,100,6.29,overcast clouds
110,Nizhniy Odes,RU,63.6445,54.856,44.51,97,100,8.48,overcast clouds
111,Butaritari,KI,3.0707,172.7902,83.01,73,15,11.9,light rain
112,Anloga,GH,5.7947,0.8973,75.42,79,89,11.61,overcast clouds
113,Cap-Aux-Meules,CA,47.3821,-61.8597,57.25,76,1,0,clear sky
114,Iquitos,PE,-3.7481,-73.2472,77.04,88,0,2.3,clear sky
115,Ahipara,NZ,-35.1667,173.1667,59.4,78,100,16.84,overcast clouds
116,Waiuku,NZ,-37.25,174.75,61.25,85,97,11.74,overcast clouds
117,Shingu,JP,33.7333,135.9833,85.19,67,100,8.1,overcast clouds
118,Kilakarai,IN,9.2333,78.7833,84.85,64,93,11.86,overcast clouds
119,Arman,RU,59.7,150.1667,56.37,91,100,6.71,overcast clouds
120,Jumla,NP,29.2747,82.1838,71.69,77,100,2.77,overcast clouds
121,Ponta Do Sol,PT,32.6667,-17.1,74.01,78,0,3.33,clear sky
122,Lianzhou,CN,24.7811,112.3825,90.45,59,27,5.99,scattered clouds
123,Bluff,NZ,-46.6,168.3333,50.81,72,100,10.83,moderate rain
124,Roma,US,43.2128,-75.4557,76.86,71,90,5.75,overcast clouds
125,Mount Gambier,AU,-37.8333,140.7667,48.11,87,75,10.36,light intensity shower rain
126,San Cristobal,VE,7.7669,-72.225,73.58,99,100,3.67,overcast clouds
127,San Jose,US,37.3394,-121.895,81.57,56,40,1.99,scattered clouds
128,Arraial Do Cabo,BR,-22.9661,-42.0278,69.4,76,0,24,clear sky
129,Nome,US,64.5011,-165.4064,50.07,87,90,14.97,light rain
130,Mar Del Plata,AR,-38.0023,-57.5575,52.88,63,90,7,light intensity drizzle
131,Bethel,US,41.3712,-73.414,72.64,77,1,5.75,clear sky
132,Toumodi,CI,6.5613,-5.0158,75.7,90,46,4.03,scattered clouds
133,Cherskiy,RU,68.75,161.3,57.31,53,66,6.87,broken clouds
134,Tessalit,ML,20.1986,1.0114,85.82,52,19,10.98,few clouds
135,Victoria,HK,22.2855,114.1577,90.97,81,47,1.01,scattered clouds
136,Caramay,PH,10.1815,119.236,86.79,63,100,8.39,overcast clouds
137,Namatanai,PG,-3.6667,152.4333,85.26,68,9,2.26,clear sky
138,Kruisfontein,ZA,-34.0033,24.7314,46.49,37,13,9.51,few clouds
139,Sol-Iletsk,RU,51.1631,54.9918,70.34,46,6,6.76,clear sky
140,Phan Thiet,VN,10.9333,108.1,86.13,62,100,16.78,overcast clouds
141,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,82,75,11.5,broken clouds
142,Padang,ID,-0.9492,100.3543,84.25,62,41,2.24,scattered clouds
143,Bairiki,KI,1.3292,172.9752,84.2,84,40,6.91,light intensity shower rain
144,Sao Joao Evangelista,BR,-18.5478,-42.7633,53.98,95,0,2.64,clear sky
145,Castro,BR,-24.7911,-50.0119,51.73,69,0,3.09,clear sky
146,Rioja,AR,-29.4111,-66.8507,58.17,36,0,1.95,clear sky
147,Hokitika,NZ,-42.7167,170.9667,49.8,82,100,8.43,light rain
148,Chuy,UY,-33.6971,-53.4616,57,81,100,5.77,overcast clouds
149,Bereznik,RU,62.8551,42.7072,53.28,66,64,4.79,broken clouds
150,Faya,SA,18.3851,42.4509,64.51,79,39,3.53,scattered clouds
151,Dickinson,US,29.4608,-95.0513,86.2,79,20,12.66,few clouds
152,Kirkkonummi,FI,60.1238,24.4385,58.1,84,34,4.9,scattered clouds
153,North Bend,US,43.4065,-124.2243,63.91,90,90,16.11,fog
154,Norsup,VU,-16.0667,167.3833,81.95,74,51,6.93,broken clouds
155,Port Hawkesbury,CA,45.6169,-61.3485,57.18,94,1,5.75,clear sky
156,Aklavik,CA,68.2191,-135.0107,72.43,49,83,13.44,broken clouds
157,Lata,PT,40.1629,-8.3327,61.81,95,30,1.16,scattered clouds
158,Chokurdakh,RU,70.6333,147.9167,53.28,47,86,13.85,overcast clouds
159,Chumikan,RU,54.7183,135.315,63.05,85,97,6.17,overcast clouds
160,Monduli,TZ,-3.3,36.45,51.51,90,6,5.06,clear sky
161,Rincon,US,32.296,-81.2354,79.86,78,1,4.61,clear sky
162,Tuatapere,NZ,-46.1333,167.6833,50.83,63,100,7.67,overcast clouds
163,Oranjemund,NA,-28.55,16.4333,61.56,21,99,17.22,overcast clouds
164,Walvis Bay,NA,-22.9575,14.5053,68.09,7,0,20.71,clear sky
165,La Asuncion,VE,11.0333,-63.8628,82.13,78,100,10.36,overcast clouds
166,Port Elizabeth,ZA,-33.918,25.5701,43.09,70,0,3.44,clear sky
167,Vaini,TO,-21.2,-175.2,77.16,94,20,9.22,light rain
168,Marfino,RU,55.7028,37.3822,59.09,82,0,2.24,clear sky
169,Qaanaaq,GL,77.484,-69.3632,38.3,67,100,4.5,overcast clouds
170,Pitkyaranta,RU,61.5734,31.4792,58.17,76,92,5.1,overcast clouds
171,Erenhot,CN,43.6475,111.9767,65.16,91,100,18.84,heavy intensity rain
172,Osoyoos,CA,49.0331,-119.4524,88.34,45,6,1.14,clear sky
173,Khatanga,RU,71.9667,102.5,61.48,45,65,22.08,broken clouds
174,Wagar,SD,16.1525,36.2032,72.86,89,100,18.77,overcast clouds
175,Buala,SB,-8.145,159.5921,78.06,89,100,8.08,moderate rain
176,Limoux,FR,42.9167,2.1667,67.82,87,72,5.32,broken clouds
177,San Quintin,MX,30.4833,-115.95,68.54,84,100,7.43,overcast clouds
178,Mudgee,AU,-32.5943,149.5871,47.79,70,90,21.85,overcast clouds
179,Gotsu,JP,35,132.2167,82.54,59,100,3.4,overcast clouds
180,San Mateo Del Mar,MX,16.2,-95,83.7,73,95,28.3,overcast clouds
181,Nemuro,JP,43.3236,145.575,82.83,93,92,11.92,overcast clouds
182,Ust-Kuyga,RU,70.0167,135.6,64.96,45,31,12.26,scattered clouds
183,Qaqortoq,GL,60.7167,-46.0333,45.1,94,76,2.15,broken clouds
184,Half Moon Bay,US,37.4636,-122.4286,80.33,75,1,0,clear sky
185,Nanortalik,GL,60.1432,-45.2371,42.31,96,97,9.37,overcast clouds
186,Dhidhdhoo,MV,6.8833,73.1,78.17,92,100,24.83,moderate rain
187,Champagnole,FR,46.7445,5.9135,61.48,95,99,2.89,overcast clouds
188,Port Moresby,PG,-9.4431,147.1797,87.22,66,40,11.5,haze
189,Vung Tau,VN,10.346,107.0843,83.64,73,98,16.8,overcast clouds
190,Pisco,PE,-13.7,-76.2167,62.65,82,75,9.22,broken clouds
191,Andenes,NO,69.3143,16.1194,55.08,94,90,11.5,overcast clouds
192,Greeley,US,40.4233,-104.7091,83.75,46,20,1.99,few clouds
193,Narsaq,GL,60.9167,-46.05,44.82,87,83,4.45,broken clouds
194,Vila Velha,BR,-20.3297,-40.2925,60.75,94,0,2.3,clear sky
195,Mount Isa,AU,-20.7333,139.5,69.57,19,7,14.97,clear sky
196,Cockburn Town,TC,21.4612,-71.1419,81.66,81,100,16.35,overcast clouds
